NIFTI File Name,x_position,y_position,z_position,real,synth_version
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,131,96,18,False,V1
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,86,188,40,False,V2
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,80,136,52,False,V3
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,116,112,31,False,V4
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,46,147,29,False,V5
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,41,154,28,False,V6
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,104,124,60,False,V7
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,48,158,14,False,V8
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,133,172,36,False,V9
101_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,107,120,24,False,V10
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,98,108,60,False,V1
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,90,75,52,False,V2
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,131,123,44,False,V3
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,124,173,12,False,V4
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,78,136,34,False,V5
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,121,133,52,False,V6
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,109,74,58,False,V7
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,66,154,22,False,V8
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,103,113,38,False,V9
102_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,45,124,39,False,V10
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,37,96,43,False,V1
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,123,105,50,False,V2
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,115,73,46,False,V3
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,75,160,37,False,V4
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,40,110,46,False,V5
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,103,179,29,False,V6
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,61,173,23,False,V7
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,66,136,70,False,V8
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,95,172,8,False,V9
108_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,60,184,32,False,V10
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,55,162,29,False,V1
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,106,81,53,False,V2
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,73,156,32,False,V3
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,72,131,64,False,V4
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,39,130,39,False,V5
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,114,111,41,False,V6
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,109,144,20,False,V7
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,93,163,27,False,V8
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,111,92,57,False,V9
110_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,79,124,68,False,V10
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,71,149,38,False,V1
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,115,149,27,False,V2
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,103,186,34,False,V3
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,129,139,25,False,V4
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,71,94,43,False,V5
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,53,127,61,False,V6
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,119,81,61,False,V7
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,46,108,57,False,V8
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,95,44,58,False,V9
115_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,97,191,31,False,V10
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,98,55,49,False,V1
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,97,203,41,False,V2
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,110,194,31,False,V3
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,74,177,62,False,V4
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,72,184,48,False,V5
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,82,119,25,False,V6
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,53,191,36,False,V7
